model_label,model_source,weight_path,subset,images,precision,recall,mAP50,mAP50_95,save_dir
nano_split_750,split_training,runs\detect\results\yolo_v12\feedback_reviewer\training\nano\split_750\weights\best.pt,test,2190,0.8921191756712137,0.8473139205309952,0.9291075464950578,0.860264358430872,C:\Users\abiyamf\Documents\Code Program\Thesis\new_experiment_for_feedback_reviewer\runs\detect\evaluation_results\all_dataset_evaluation\yolo_val\nano_split_750_test
nano_split_750,split_training,runs\detect\results\yolo_v12\feedback_reviewer\training\nano\split_750\weights\best.pt,train,7638,0.8920545151369312,0.8419088469725996,0.9311344018175656,0.8655009041189419,C:\Users\abiyamf\Documents\Code Program\Thesis\new_experiment_for_feedback_reviewer\runs\detect\evaluation_results\all_dataset_evaluation\yolo_val\nano_split_750_train
nano_split_750,split_training,runs\detect\results\yolo_v12\feedback_reviewer\training\nano\split_750\weights\best.pt,valid,1093,0.9064302534830216,0.8354162215342941,0.9339807054333384,0.8650959182828362,C:\Users\abiyamf\Documents\Code Program\Thesis\new_experiment_for_feedback_reviewer\runs\detect\evaluation_results\all_dataset_evaluation\yolo_val\nano_split_750_valid
nano_split_750,split_training,runs\detect\results\yolo_v12\feedback_reviewer\training\nano\split_750\weights\best.pt,all,10921,0.8888876982790409,0.8457197401528882,0.9299967048687784,0.8633606304324974,C:\Users\abiyamf\Documents\Code Program\Thesis\new_experiment_for_feedback_reviewer\runs\detect\evaluation_results\all_dataset_evaluation\yolo_val\nano_split_750_all
nano_split_1000,split_training,runs\detect\results\yolo_v12\feedback_reviewer\training\nano\split_1000\weights\best.pt,test,2190,0.8940295950480891,0.859107430941973,0.936904398048856,0.8754524464781334,C:\Users\abiyamf\Documents\Code Program\Thesis\new_experiment_for_feedback_reviewer\runs\detect\evaluation_results\all_dataset_evaluation\yolo_val\nano_split_1000_test
nano_split_1000,split_training,runs\detect\results\yolo_v12\feedback_reviewer\training\nano\split_1000\weights\best.pt,train,7638,0.910210778635521,0.8428486562214599,0.9389855909679686,0.8796080040152869,C:\Users\abiyamf\Documents\Code Program\Thesis\new_experiment_for_feedback_reviewer\runs\detect\evaluation_results\all_dataset_evaluation\yolo_val\nano_split_1000_train
nano_split_1000,split_training,runs\detect\results\yolo_v12\feedback_reviewer\training\nano\split_1000\weights\best.pt,valid,1093,0.8809376689246823,0.8730254423981618,0.9410295325985664,0.8797572665226104,C:\Users\abiyamf\Documents\Code Program\Thesis\new_experiment_for_feedback_reviewer\runs\detect\evaluation_results\all_dataset_evaluation\yolo_val\nano_split_1000_valid
nano_split_1000,split_training,runs\detect\results\yolo_v12\feedback_reviewer\training\nano\split_1000\weights\best.pt,all,10921,0.9015957227403248,0.8493679752853383,0.9380805078148052,0.8778732592813907,C:\Users\abiyamf\Documents\Code Program\Thesis\new_experiment_for_feedback_reviewer\runs\detect\evaluation_results\all_dataset_evaluation\yolo_val\nano_split_1000_all
nano_split_1250,split_training,runs\detect\results\yolo_v12\feedback_reviewer\training\nano\split_1250\weights\best.pt,test,2190,0.8951661064028297,0.8581006411309163,0.9393612897198488,0.8857055224325414,C:\Users\abiyamf\Documents\Code Program\Thesis\new_experiment_for_feedback_reviewer\runs\detect\evaluation_results\all_dataset_evaluation\yolo_val\nano_split_1250_test
nano_split_1250,split_training,runs\detect\results\yolo_v12\feedback_reviewer\training\nano\split_1250\weights\best.pt,train,7638,0.8995576952179992,0.8641454810338213,0.9423272024883296,0.8893495955249129,C:\Users\abiyamf\Documents\Code Program\Thesis\new_experiment_for_feedback_reviewer\runs\detect\evaluation_results\all_dataset_evaluation\yolo_val\nano_split_1250_train
